"*Nama Produk Paket","*Kategori Produk Paket","*Kode / SKU Produk Paket","*Satuan Produk Paket","URL Gambar Produk Paket","Deskripsi Produk Paket","Harga Produk Paket","Jumlah Minimal Grosir Produk Paket","Harga Grosir Produk Paket","Harga Grosir Produk Paket (Persen)","*Kode Akun Penjualan","Pajak Produk Paket","*Nama / SKU Produk","*Jumlah Produk"
"OZ 16 DATAR RM BEDA RASA","CUP PAKET","SKU/00060","Pasang","","","1200","","","","4-40000","","LID SAMBUNG HITAM","1"
"OZ 16 DATAR RM BEDA RASA","CUP PAKET","SKU/00060","Pasang","","","1200","","","","4-40000","","CUP OZ 16 DATAR POLOS ECR","1"
